"from","to","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Bahamas","Venezuela","12","0.000000","3.000000","6.000000","6.000000","12.000000","5.000000","9.000000","7.000000","21.000000","58.000000","0.000000"
"Bahamas","Zambia","0","0.000000","0.000000","0.000000","0.000000","0.000000","4.660000","0.000000","0.600000","-22.000000","1.400000","6.300000"
"Bahrain","Algeria","12.995","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"Bahrain","Argentina","0","0.000000","0.000000","0.000000","1.009000","3.633000","-2.863000","0.000000","0.000000","-0.513000","-1.011000","0.000000"
"Bahrain","Bangladesh","2.1","2.460000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"Bahrain","Belgium","0","0.000000","-4.514499","0.000000","0.000000","0.000000","0.000000","0.000000","-41.675754","0.000000","0.000000","0.000000"
"Bahrain","Bulgaria","-7.28226145627332","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.585930","0.000000","0.000000","0.000000","0.000000"
"Bahrain","Cyprus","0","0.000000","0.000000","0.554548","0.948403","0.000000","1.231800","0.000000","1.458651","-1.297936","..",".."
"Bahrain","Egypt","0","0.500000","9.500000","4.500000","41.300000","56.200000","26.300000","35.800000","35.100000","82.500000","145.000000","98.800000"
"Bahrain","France","0.894846578554107","0.941132","29.344246","1.241673","3.730786","0.000000","0.000000","0.000000","0.000000","0.000000","..",".."
"Bahrain","Germany","1.78969315710821","4.705661","1.128625","-2.483346","3.730786","0.000000","2.737334","-11.718607","4.167575","0.000000","0.000000","0.000000"
"Bahrain","Italy","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.186509","-0.972434","0.900609","-1.000897","-9.893434"
"Bahrain","Luxembourg","0","3.764529","2.257250","901.454620","-16.166741","-173.118683","173.820688","159.666020","283.395129","43.706004","8.340805","2.569723"
"Bahrain","Madagascar","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","71.237495","0.000000","0.000000","0.000000","0.000000"
"Bahrain","Mexico","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.558000","0.000000","0.000000","0.000000","0.000000"
"Bahrain","Morocco","1.11474829691232","0.000000","0.000000","9.359474","0.000000","3.922425","3.295766","60.410331","13.938017","10.039016","1.891254","0.000000"
"Bahrain","Oman","0","0.000000","0.000000","0.000000","0.000000","24.187256","113.394018","40.572172","73.862159","142.262679","120.156047","0.000000"
"Bahrain","Pakistan","0","29.882000","15.261000","12.105000","27.984000","34.201000","-78.261000","31.970000","17.016000","-80.622000","21.979000","9.712000"
"Bahrain","Poland","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.857195","3.105118","2.088106"
"Bahrain","Qatar","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12.417582","0.000000","0.000000","0.000000"
"Bahrain","Saudi Arabia","0","2.000000","42.000000","116.000000","445.000000","789.000000","593.000000","1681.000000","3026.000000","1183.000000","0.000000","0.000000"
"Bahrain","Tunisia","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","25.476386","0.000000","0.000000","0.000000"
"Bahrain","Turkey","0","4.000000","0.000000","0.000000","24.000000","89.000000","36.000000","47.000000","96.000000","0.000000","5.000000","131.000000"
"Bahrain","United States","0","149.000000","..","-12.000000","..","-47.000000","-16.000000","25.000000","-18.000000","..","-91.000000","0.000000"
"Bangladesh","Bulgaria","0","0.000000","0.000000","0.000000","4.476944","0.000000","-4.790334","0.000000","0.000000","0.000000","0.000000","0.000000"
"Bangladesh","Denmark","0","0.000000","0.000000","0.000000","0.000000","1.345266","1.102192","2.942255","0.000000","0.000000","0.000000","0.000000"
"Bangladesh","Germany","0","0.000000","0.000000","0.000000","1.243595","0.000000","0.000000","-1.464826","1.389192","0.000000","0.000000","0.000000"
"Bangladesh","Italy","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.666812","0.516526","0.597758","0.000000"
"Bangladesh","Korea, Republic of","0.859","1.122000","1.316000","1.365000","1.651000","1.248000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"Bangladesh","Luxembourg","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","303.227315"
"Bangladesh","Madagascar","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","14.985044","0.000000","0.000000","0.000000","0.000000"
"Bangladesh","Pakistan","0","0.000000","-1.809000","0.000000","0.000000","7.863000","4.641000","0.000000","0.000000","0.605000","0.000000","0.784000"
"Bangladesh","Philippines","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.700000"
"Bangladesh","Romania","0","0.000000","0.000000","0.000000","0.000000","1.254483","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"Bangladesh","Saudi Arabia","0","2.000000","0.000000","2.000000","1.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"Bangladesh","Sweden","-1.30689024213145","-0.949490","-2.542349","-1.992573","0.000000","-0.848643","-1.653052","-1.517197","-1.306537","-2.636136","-0.923995","-2.656819"
"Bangladesh","United States","2","0.000000","0.000000","0.000000","0.000000","1.000000","0.000000","1.000000","1.000000","1.000000","1.000000","0.000000"
"Bangladesh","Zambia","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.000000","0.000000","0.000000","0.000000"
