"from","to","n","from_iso","to_iso","nd","PERC","NDX"
"Bangladesh","Albania",0,"BGD","ALB",0.495135268,0,0
"Barbados","Albania",0,"BRB","ALB",0.351954265,0,0
"Belarus","Albania",0,"BLR","ALB",0.230041615,0,0
"Belgium","Albania",0,"BEL","ALB",0.205225833,0,0
"Belize","Albania",0,"BLZ","ALB",0.293049515,0,0
"Benin","Albania",0,"BEN","ALB",0.517243631,0,0
"Bermuda","Albania",0,"BMU","ALB",NA,0,NA
"Bhutan","Albania",0,"BTN","ALB",0.422441886,0,0
"Bolivia","Albania",0,"BOL","ALB",0.378167921,0,0
"Bosnia and Herzegovina","Albania",0,"BIH","ALB",0.2722268,0,0
"Botswana","Albania",0,"BWA","ALB",0.421447167,0,0
"Brazil","Albania",0,"BRA","ALB",0.295596157,0,0
"Brunei Darussalam","Albania",0,"BRN","ALB",0.302437937,0,0
"Bulgaria","Albania",0,"BGR","ALB",0.223077829,0,0
"Burkina Faso","Albania",0,"BFA","ALB",0.533261358,0,0
"Burundi","Albania",0,"BDI","ALB",0.589934385,0,0
"Cambodia","Albania",0,"KHM","ALB",0.49951571,0,0
"Cameroon","Albania",0,"CMR","ALB",0.474332679,0,0
"Canada","Albania",0,"CAN","ALB",0.233574656,0,0
"Cape Verde","Albania",0,"CPV","ALB",0.349308351,0,0
"Cayman Islands","Albania",0,"CYM","ALB",NA,0,NA
"Central African Republic","Albania",0,"CAF","ALB",0.578744904,0,0
"Chad","Albania",0,"TCD","ALB",0.544175509,0,0
"Channel Islands","Albania",0,"","ALB",NA,NA,NA
"Chile","Albania",0,"CHL","ALB",0.282457473,0,0
"China","Albania",0,"CHN","ALB",0.303023198,0,0
"Colombia","Albania",0,"COL","ALB",0.29815216,0,0
"Comoros","Albania",0,"COM","ALB",0.460379667,0,0
"Congo, Dem. Rep.","Albania",0,"COD","ALB",0.571658773,0,0
"Congo, Rep.","Albania",0,"COG","ALB",0.488770024,0,0
"Costa Rica","Albania",0,"CRI","ALB",0.342986709,0,0
"Côte d'Ivoire","Albania",0,"CIV","ALB",0.502742155,0,0
"Croatia","Albania",0,"HRV","ALB",0.2074084,0,0
"Cuba","Albania",0,"CUB","ALB",0.386899275,0,0
"Cyprus","Albania",0,"CYP","ALB",0.226918286,0,0
"Czech Republic","Albania",1075.05696124414,"CZE","ALB",0.167790564,0.00290762503458821,0.000487872044454075
"Denmark","Albania",0,"DNK","ALB",0.144967624,0,0
"Djibouti","Albania",0,"DJI","ALB",0.452671246,0,0
"Dominica","Albania",0,"DMA","ALB",0.40126814,0,0
"Dominican Republic","Albania",0,"DOM","ALB",0.398649596,0,0
"Ecuador","Albania",0,"ECU","ALB",0.316319862,0,0
"Egypt, Arab Rep.","Albania",0,"EGY","ALB",0.283767746,0,0
"El Salvador","Albania",0,"SLV","ALB",0.383533774,0,0
"Equatorial Guinea","Albania",0,"GNQ","ALB",0.425928626,0,0
"Eritrea","Albania",0,"ERI","ALB",0.496463053,0,0
"Estonia","Albania",0,"EST","ALB",0.252987409,0,0
"Ethiopia","Albania",0,"ETH","ALB",0.547400573,0,0
"Faeroe Islands","Albania",0,"FRO","ALB",NA,0,NA
"Fiji","Albania",0,"FJI","ALB",0.421671115,0,0
"Finland","Albania",0,"FIN","ALB",0.189396599,0,0
"France","Albania",0,"FRA","ALB",0.150847644,0,0
"French Polynesia","Albania",0,"PYF","ALB",NA,0,NA
"Gabon","Albania",0,"GAB","ALB",0.354821068,0,0
"Gambia, The","Albania",0,"GMB","ALB",0.496256117,0,0
"Georgia","Albania",0,"GEO","ALB",0.304407025,0,0
"Germany","Albania",0,"DEU","ALB",0.15008984,0,0
"Ghana","Albania",0,"GHA","ALB",0.472997101,0,0
"Gibraltar","Albania",0,"GIB","ALB",NA,NA,NA
"Greece","Albania",80777.7454332264,"GRC","ALB",0.246449197,0.0667688063656805,0.0164551187134704
"Greenland","Albania",0,"GRL","ALB",NA,0,NA
"Grenada","Albania",0,"GRD","ALB",0.355232752,0,0
"Guam","Albania",0,"GUM","ALB",NA,0,NA
"Guatemala","Albania",0,"GTM","ALB",0.348952548,0,0
"Guinea","Albania",0,"GIN","ALB",0.545373092,0,0
"Guinea-Bissau","Albania",0,"GNB","ALB",0.535389329,0,0
"Guyana","Albania",0,"GUY","ALB",0.401113015,0,0
"Haiti","Albania",0,"HTI","ALB",0.536118523,0,0
"Honduras","Albania",0,"HND","ALB",0.402424291,0,0
"Hong Kong, China","Albania",0,"HKG","ALB",NA,0,NA
"Hungary","Albania",0,"HUN","ALB",0.211185316,0,0
"Iceland","Albania",0,"ISL","ALB",0.235824899,0,0
"India","Albania",0,"IND","ALB",0.427243396,0,0
"Indonesia","Albania",0,"IDN","ALB",0.335011941,0,0
"Iran, Islamic Rep.","Albania",0,"IRN","ALB",0.287427476,0,0
"Iraq","Albania",0,"IRQ","ALB",0.450231358,0,0
"Ireland","Albania",0,"IRL","ALB",0.193795309,0,0
"Isle of Man","Albania",0,"IMN","ALB",NA,NA,NA
"Israel","Albania",100.356979758084,"ISR","ALB",0.255671359,9.83347478130018e-05,2.51413786102724e-05
