"from","to","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","from_iso","to_iso","avg","nd","TOTAL","PERC","NDX"
"Argentina","Bulgaria","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.958067",0,0,0.52977,0.499336,1.00065,"ARG","BGR",0.4059512,0.223077829,1678.6965254,0.000241825245872401,5.39458508466064e-05
"Argentina","Chile","0","0.000000","0.000000","0.000000","0.000000","113.000000","281.000000",315,353.789,409.222,17.554,77.669,"ARG","CHL",234.6468,0.282457473,1678.6965254,0.13977916582873,0.0394816699580311
"Argentina","Colombia","3.166","21.334000","7.655000","0.953000","3.127000","14.613000","4.326000",5.542,22.692,9.468,106.961,20.843,"ARG","COL",33.1012,0.29815216,1678.6965254,0.0197183943012646,0.00587908185265372
"Argentina","Costa Rica","0","0.000000","0.800000","11.900000","3.600000","10.600000","1.124000",15.373,7.862,0,0,7.912,"ARG","CRI",6.2294,0.342986709,1678.6965254,0.00371085536053972,0.00127277406768653
"Argentina","Croatia","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,0.812677,0,5.087891,0.810748,"ARG","HRV",1.3422632,0.2074084,1678.6965254,0.000799586571897005,0.000165840971538643
"Argentina","Czech Republic","0","0.000000","0.000000","0.000000","0.000000","..","..",0,0,0,2.258433,0,"ARG","CZE",0.4516866,0.167790564,1678.6965254,0.000269069836724879,4.51473796594554e-05
"Argentina","Denmark","0","0.000000","0.000000","0.000000","-107.055133","-43.216665","4.776163",0.588451,0,17.780686,18.626448,17.263763,"ARG","DNK",10.8518696,0.144967624,1678.6965254,0.00646446182249303,0.000937137670845524
"Argentina","Ecuador","63.6975","4.801000","6.563000","12.564000","1.723000","2.902000","3.645000",56.088,53.484,6.772,27.442,25.339,"ARG","ECU",33.825,0.316319862,1678.6965254,0.0201495621681472,0.00637370672438874
"Argentina","France","198.655940439012","-4.705661","-40.630495","27.316807","-38.551460","11.290349","16.424002",71.776468,86.129892,29.137336,47.264563,10.278898,"ARG","FRA",48.9174314,0.150847644,1678.6965254,0.0291401278669734,0.00439571963459169
"Argentina","Germany","-4.47423289277053","-0.941132","-67.717492","1.241673","14.923146","-1.254483","-52.009340",13.183433,0,19.866366,13.901342,20.557784,"ARG","DEU",13.501785,0.15008984,1678.6965254,0.00804301718369423,0.00120717516221792
"Argentina","Hungary","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",1.165769,3.230091,1.247379,1.921479,1.601304,"ARG","HUN",1.8332044,0.211185316,1678.6965254,0.00109204038506197,0.000230622893804073
"Argentina","India","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,0,10.15,0,0,"ARG","IND",2.03,0.427243396,1678.6965254,0.00120927158023175,0.000516653296624498
"Argentina","Italy","4.89660047784807","9.531787","8.145286","67.564396","17.921455","10.956656","13.187105",77.884791,83.462644,37.176592,41.856941,97.932144,"ARG","ITA",67.6626224,0.211710304,1678.6965254,0.0403066435035822,0.00853333174936302
"Argentina","Japan","0","0.000000","0.000000","0.000000","3.800468","18.624150","40.993512",42.201453,15.842668,10.184906,53.025048,0,"ARG","JPN",24.250815,0.28963038,1678.6965254,0.0144462174270728,0.00418406344296571
"Argentina","Korea, Republic of","0","0.000000","0.000000","0.588000","0.000000","0.000000","0.000000",0,0,0,0,0,"ARG","KOR",0,0.347391189,1678.6965254,0,0
"Argentina","Luxembourg","0","0.000000","3.385875","6.208365","481.271452","8.781382","1.368667",71.776468,37.508179,79.465462,20.852013,35.976122,"ARG","LUX",49.1156488,0.129131919,1678.6965254,0.0292582060288096,0.00377816829099755
"Argentina","Mexico","9.714","10.582000","4.385000","11.604000","542.331000","24.502000","25.481000",43.563,2.615,7.719,9.451,18.121,"ARG","MEX",16.2938,0.289546763,1678.6965254,0.00970622131723154,0.00281040496336599
"Argentina","Netherlands","3.57938631421643","-5.646793","-1.128625","6.208365","0.000000","0.000000","0.000000",0,0,0,0,0,"ARG","NLD",0,0.19057085,1678.6965254,0,0
"Argentina","Panama","0","0.000000","5.473000","13.974000","0.000000","-151.983000","66.129000",51.025,22.198,21.715,3.659,26.636,"ARG","PAN",25.0466,0.339105111,1678.6965254,0.0149202667790308,0.00505953872225284
"Argentina","Paraguay","20.7845762037983","-1.846000","10.561294","-7.402663","13.531000","21.616000","-16.767000",5.943084,23.243378,7.5581,18.024,13.3569,"ARG","PRY",13.6250924,0.344765468,1678.6965254,0.00811647143711899,0.00279827907352696
"Argentina","Peru","0","-29.804000","0.000000","0.000000","0.000000","1.222000","0.000000",0,0,1,2.233,0,"ARG","PER",0.6466,0.369894385,1678.6965254,0.000385179804816674,0.000142475847017084
"Argentina","Poland","2.6897265892922","0.000000","-0.677410","-2.475307","-1.243595","-7.276003","0.686429",0,2.756287,0,0,0,"ARG","POL",0.5512574,0.149939918,1678.6965254,0.000328384190745046,4.92378986328086e-05
"Argentina","Portugal","0","0.000000","3.274141","0.000000","2.939860","0.000000","0.000000",2.416963,0,0,0,0,"ARG","PRT",0.4833926,0.254607569,1678.6965254,0.000287957109987356,7.33160597501463e-05
"Argentina","Slovakia","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,0,2.648849,4.170403,0,"ARG","SVK",1.3638504,0.187754477,1678.6965254,0.000812446073107241,0.000152540387546954
"Argentina","Spain","-18.7917781496362","43.292080","15.800748","-73.258709","7.461573","-70.251060","-483.139393",0,545.952381,79.465462,86.188321,77.09169,"ARG","ESP",157.7395708,0.213517562,1678.6965254,0.0939655074120165,0.0200632860547067
"Argentina","Sweden","44.1360815559923","0.515543","-0.588168","0.000000","..","..","..",NA,NA,NA,NA,NA,"ARG","SWE",NA,0.205265765,1678.6965254,NA,NA
"Argentina","United States","-172","581.000000","-352.000000","-49.000000","-94.000000","107.000000","-53.000000",182,366,19,171,0,"ARG","USA",147.6,0.199021375,1678.6965254,0.0879253621882787,0.0174990264800842
"Argentina","Uruguay","102.771","36.927000","31.230000","28.437000","105.565000","281.880000","372.587000",533.911,432.278,587.792,809.335,980.345,"ARG","URY",668.7322,0.273960494,1678.6965254,0.398363962682686,0.109135988008346
"Argentina","Venezuela","38","-46.000000","-40.000000","-139.000000","-102.000000","10.000000","-14.000000",37,62,44,194,0,"ARG","VEN",67.4,0.284910779,1678.6965254,0.0401501992648373,0.01143922454955
"Armenia","Bulgaria","0","0.000000","0.000000","0.000000","1.741034","1.630828","5.064067",6.738199,43.620623,2.119079,2.551869,1.898511,"ARM","BGR",11.3856562,0.223077829,28.8621698,0.394483723119112,0.0880005725292486
"Armenia","Cyprus","0","1.014980","2.372369","1.152810","1.444044","0.000000","0.000000",0,50.566582,0,NA,NA,"ARM","CYP",16.8555273333333,0.226918286,28.8621698,0.584000698843277,0.132520437604319
"Armenia","Germany","0","0.000000","1.128625","2.483346","1.243595","0.000000","1.368667",1.464826,2.778384,0,0,0,"ARM","DEU",0.848642,0.15008984,28.8621698,0.0294032640609023,0.00441313119837858
"Armenia","Luxembourg","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,1.389192,27.812912,2.780268,0,"ARM","LUX",6.3964744,0.129131919,28.8621698,0.22162139729356,0.0286183963239789
"Armenia","Romania","0","0.000000","-2.696285","0.000000","-3.730786","0.000000","0.000000",0,0,0,0,0,"ARM","ROU",0,0.25070976,28.8621698,0,0
"Armenia","Sweden","0","..","0.000000","0.000000","0.000000","0.000000","0.000000",0,0,0,0,0.590404,"ARM","SWE",0.1180808,0.205265765,28.8621698,0.0040911962204588,0.000839782521957583
"Aruba","Argentina","0","0.000000","0.000000","0.000000","2.066000","-7.212000","0.761000",0.818,0,0,1.879,0,"ABW","ARG",0.5394,0.262239067,10.7423702,0.0502123823660443,0.0131676483035187
"Aruba","Bulgaria","0","0.000000","0.000000","0.000000","0.000000","0.000000","1.231800",0,0,0,0,0,"ABW","BGR",0,0.223077829,10.7423702,0,0
"Aruba","Colombia","2.968","2.635000","3.773000","3.906000","-9.615000","1.694000","15.739000",0,1.955,10.159,0,1.944,"ABW","COL",2.8116,0.29815216,10.7423702,0.261729948573174,0.0780353495037808
